id	gene	deltaPSI	deltaPSIc	z	p	q
chr2_216877956_216878346_-	MREG	0.06	0.065	0.19	0.37	0
chr9_32492389_32492536_-	DDX58	0.15	0.165	0.65	0.59	0
chr1_45805571_45805626_-	MUTYH	0.44	0.445	1.91	1.55	0.02
chr2_69969106_69969307_+	ANXA4	-0.15	-0.135	-0.71	0.62	0
chr16_8738414_8738901_+	METTL22	-0.11	-0.095	-0.53	0.53	0
chr10_38145363_38145460_-	ZNF248	-0.22	-0.205	-1.03	0.82	0
chr3_25832481_25832806_+	OXSM	0.1	0.095	0.33	0.43	0
chr6_133849863_133853258_+	EYA4	-0.25	-0.245	-1.21	0.95	0
chr16_87764242_87764250_-	KLHDC4	-0.16	-0.155	-0.8	0.67	0
chr8_135577576_135577664_-	ZFAT	0.21	0.205	0.83	0.69	0
chr19_53854071_53857799_+	ZNF845	0.1	0.095	0.33	0.43	0
chr14_23778025_23780968_+	BCL2L2	0.17	0.175	0.69	0.61	0
chr20_47591303_47591411_+	ARFGEF2	0.1	0.115	0.42	0.47	0
chr8_135577230_135577395_-	ZFAT	0.3	0.305	1.28	1	0
chr12_100655508_100655546_-	DEPDC4	0.07	0.085	0.28	0.41	0
chr12_48501855_48501977_+	PFKM	-0.35	-0.345	-1.66	1.31	0
chr4_120160795_120161058_+	USP53	0.22	0.225	0.92	0.75	0
chr19_53898403_53898446_+	ZNF765	0.08	0.075	0.24	0.39	0
chr1_45805571_45805607_-	MUTYH	0.44	0.445	1.91	1.55	0.02
chr20_43560820_43561826_+	PABPC1L	0.33	0.335	1.41	1.1	0
chr15_93443058_93444054_+	CHD2	-0.16	-0.155	-0.8	0.67	0
chr16_75485567_75485735_-	TMEM170A	-0.05	-0.035	-0.26	0.4	0
chr15_93443419_93444054_+	CHD2	-0.16	-0.155	-0.8	0.67	0
chr2_110566327_110566472_+	RGPD5	-0.22	-0.205	-1.03	0.82	0
chr15_25653719_25653831_-	UBE3A	0.05	0.055	0.15	0.36	0
chr13_50586071_50592587_+	TRIM13	0.19	0.195	0.78	0.66	0
chr6_26449890_26449916_+	BTN3A3	0.18	0.175	0.69	0.61	0
chr12_32123123_32123290_+	KIAA1551	0.38	0.375	1.6	1.26	0
chr1_144859759_144859998_-	PDE4DIP	0.02	0.005	-0.08	0.33	0
chr1_19244856_19244996_-	IFFO2	-0.3	-0.295	-1.43	1.12	0
chr15_94888358_94888393_+	MCTP2	0.02	0.025	0.01	0.3	0
chr20_43561331_43561826_+	PABPC1L	0.33	0.335	1.41	1.1	0
chr22_31492984_31493046_+	SMTN	-0.21	-0.205	-1.03	0.82	0
chr19_53360825_53360902_-	ZNF468	0.37	0.365	1.55	1.22	0
chr12_31652540_31652605_-	DENND5B	0.35	0.355	1.5	1.18	0
chr19_58455302_58455428_-	ZNF256	0.29	0.295	1.23	0.96	0
chr17_8077859_8077934_-	TMEM107	0.12	0.135	0.51	0.52	0
chr2_201171099_201171324_+	SPATS2L	0.12	0.125	0.46	0.49	0
chr19_14228314_14228556_-	PRKACA	0.16	0.165	0.65	0.59	0
chr3_129170757_129170841_+	IFT122	-0.13	-0.125	-0.67	0.6	0
chr19_53868946_53869012_+	ZNF525	0.44	0.445	1.91	1.55	0.02
chr6_127607195_127607496_+	RNF146	-0.01	-0.005	-0.12	0.34	0
chr19_53360825_53360872_-	ZNF468	0.37	0.365	1.55	1.22	0
chr12_125603187_125603311_+	AACS	0.1	0.105	0.37	0.45	0
chr12_48499240_48499641_-	SENP1	-0.07	-0.055	-0.35	0.44	0
chrX_30861105_30861166_-	TAB3	-0.2	-0.185	-0.94	0.76	0
chr11_73122439_73122581_-	FAM168A	0.13	0.135	0.51	0.52	0
chr6_26444185_26444532_+	BTN3A3	0.32	0.315	1.32	1.03	0
chr3_137802955_137803095_-	DZIP1L	0.29	0.295	1.23	0.96	0
chr20_43560203_43561826_+	PABPC1L	0.33	0.335	1.41	1.1	0
chr14_51462782_51464906_-	TRIM9	-0.14	-0.125	-0.67	0.6	0
chr12_32485388_32485999_+	BICD1	0.17	0.185	0.74	0.64	0
chr17_4578643_4578657_-	PELP1	-0.36	-0.345	-1.66	1.31	0
chr16_68325112_68325235_+	SLC7A6	0.18	0.185	0.74	0.64	0
chr16_3338454_3338570_+	ZNF263	0.34	0.335	1.41	1.1	0
chr1_116224985_116225118_+	VANGL1	0.42	0.415	1.78	1.43	0
chr6_133849863_133853257_+	EYA4	-0.25	-0.245	-1.21	0.95	0
chr12_31566370_31566498_-	DENND5B	-0.23	-0.215	-1.07	0.85	0
chr2_24285889_24286551_+	FKBP1B	-0.36	-0.355	-1.7	1.35	0
chr19_39366971_39367114_-	RINL	0.32	0.315	1.32	1.03	0
chr19_2271390_2271441_+	OAZ1	0.18	0.205	0.83	0.69	0
chr7_44268987_44269100_-	CAMK2B	0.18	0.175	0.69	0.61	0
chr12_70133188_70133649_+	RAB3IP	0.11	0.115	0.42	0.47	0
chr4_110639845_110639915_-	PLA2G12A	-0.24	-0.225	-1.12	0.88	0
chr7_76134691_76135308_+	DTX2	0.09	0.105	0.37	0.45	0
chr6_33754511_33754778_-	LEMD2	-0.26	-0.245	-1.21	0.95	0
chr19_44529506_44529630_+	ZNF223	0.27	0.285	1.19	0.93	0
chr19_44529515_44529630_+	ZNF222	0.27	0.285	1.19	0.93	0
chr2_69969236_69969307_+	ANXA4	-0.15	-0.135	-0.71	0.62	0
chr10_124600694_124600844_-	CUZD1	0.36	0.375	1.6	1.26	0
chr2_111334530_111334678_-	RGPD6	0.27	0.275	1.14	0.9	0
chr19_53745334_53745693_-	ZNF677	0.12	0.125	0.46	0.49	0
chr1_197616185_197616244_-	DENND1B	0.14	0.145	0.56	0.54	0
chrX_38425575_38425608_+	TSPAN7	0.13	0.135	0.51	0.52	0
chr10_14968842_14968896_-	DCLRE1C	0.02	0.035	0.06	0.32	0
chr19_58027422_58027789_+	ZNF773	-0.36	-0.345	-1.66	1.31	0
chr22_45148486_45148507_+	ARHGAP8	0.33	0.335	1.41	1.1	0
chr16_24789665_24789789_+	TNRC6A	-0.14	-0.135	-0.71	0.62	0
chr1_160231907_160232241_-	DCAF8	-0.18	-0.175	-0.89	0.73	0
chr13_50586071_50587305_+	TRIM13	0.19	0.195	0.78	0.66	0
chr7_140043212_140043289_-	SLC37A3	0.27	0.265	1.1	0.87	0
chr7_64139555_64139714_+	ZNF107	0.13	0.135	0.51	0.52	0
chr6_121563347_121563485_-	TBC1D32	-0.08	-0.055	-0.35	0.44	0
chr7_44687043_44687133_+	OGDH	0.22	0.225	0.92	0.75	0
