id	gene	deltaPSI	deltaPSIc	z	p	q
chr1_67394570_67394646_+	MIER1	0.2	0.205	0.96	0.77	0
chr19_41305092_41305167_+	EGLN2	-0.15	-0.135	-0.45	0.49	0
chr16_89865399_89865487_-	FANCA	-0.03	-0.015	0.05	0.32	0
chr12_51585379_51585547_-	POU6F1	-0.11	-0.085	-0.24	0.39	0
chr15_100106133_100106309_+	MEF2A	0.3	0.295	1.34	1.05	0
chr17_60556386_60556651_+	TLK2	0.35	0.355	1.59	1.25	0
chr3_184032952_184033333_+	EIF4G1	-0.34	-0.325	-1.23	0.96	0
chr14_64944769_64954775_-	ZBTB25	-0.19	-0.175	-0.61	0.57	0
chr19_5071021_5071070_+	KDM4B	-0.21	-0.205	-0.74	0.64	0
chr17_55185307_55185409_+	AKAP1	0.15	0.155	0.76	0.65	0
chr9_33473787_33473900_-	NOL6	-0.1	-0.085	-0.24	0.39	0
chr20_32262030_32262269_-	NECAB3	-0.15	-0.135	-0.45	0.49	0
chr6_80234881_80234986_-	LCA5	-0.05	-0.045	-0.07	0.33	0
chr20_31017704_31017856_+	ASXL1	0.27	0.285	1.3	1.01	0
chr3_128997799_128998046_+	HMCES	0.08	0.085	0.47	0.5	0
chr12_58166383_58166684_+	METTL21B	0.58	0.585	2.54	2.26	0.48
chr8_11628955_11629094_+	NEIL2	0.18	0.185	0.88	0.72	0
chr4_123237503_123237703_+	KIAA1109	0.1	0.115	0.59	0.56	0
chr3_48481398_48481491_-	CCDC51	-0.01	0.005	0.13	0.35	0
chr3_184032971_184033333_+	EIF4G1	-0.34	-0.325	-1.23	0.96	0
chr17_43012199_43012303_-	KIF18B	-0.19	-0.175	-0.61	0.57	0
chrX_153736142_153736213_-	FAM3A	-0.1	-0.085	-0.24	0.39	0
chr9_33473787_33473928_-	NOL6	-0.1	-0.085	-0.24	0.39	0
chr19_50985118_50985204_+	EMC10	-0.11	-0.095	-0.28	0.41	0
chr12_66990627_66990707_-	GRIP1	0.26	0.265	1.21	0.95	0
chr20_33502126_33502240_+	ACSS2	-0.17	-0.165	-0.57	0.55	0
chr10_75564531_75564627_-	NDST2	-0.23	-0.225	-0.82	0.69	0
chr4_83931637_83931974_-	LIN54	-0.16	-0.155	-0.53	0.53	0
chr13_50586071_50588467_+	TRIM13	-0.24	-0.235	-0.86	0.71	0
chr1_25233750_25233908_-	RUNX3	0.17	0.175	0.84	0.7	0
chr19_10657865_10657929_+	ATG4D	0.23	0.245	1.13	0.89	0
chr2_31147606_31147689_-	GALNT14	-0.13	-0.115	-0.36	0.44	0
chr1_151413404_151413562_-	POGZ	-0.29	-0.285	-1.07	0.85	0
chr14_31795082_31795548_-	HEATR5A	-0.18	-0.165	-0.57	0.55	0
chr13_52293334_52293484_+	WDFY2	0.31	0.325	1.46	1.14	0
chr19_44898683_44898703_-	ZNF285	0.08	0.085	0.47	0.5	0
chr14_58894956_58895181_+	KIAA0586	0.03	0.045	0.3	0.42	0
chr7_42276570_42276658_-	GLI3	0.24	0.255	1.17	0.92	0
chr4_83931637_83931862_-	LIN54	-0.16	-0.155	-0.53	0.53	0
chr12_58166461_58166684_+	METTL21B	0.58	0.585	2.54	2.26	0.48
chr11_82923695_82926242_+	ANKRD42	-0.17	-0.165	-0.57	0.55	0
chrX_53247497_53247580_-	KDM5C	-0.21	-0.205	-0.74	0.64	0
chr12_106706071_106706212_+	TCP11L2	0.2	0.205	0.96	0.77	0
chr1_23832922_23836640_-	E2F2	-0.11	-0.105	-0.32	0.43	0
chr5_53813593_53815403_+	SNX18	0.16	0.165	0.8	0.67	0
chr14_24035081_24035101_-	AP1G2	-0.52	-0.505	-1.98	1.62	0.08
chr6_10411803_10412408_-	TFAP2A	-0.01	-0.005	0.09	0.33	0
chr1_12089822_12089951_+	MIIP	-0.14	-0.125	-0.41	0.47	0
chr7_42276570_42276612_-	GLI3	0.24	0.255	1.17	0.92	0
chr7_129269909_129270009_+	NRF1	0.14	0.155	0.76	0.65	0
chr4_40438458_40438664_-	RBM47	-0.04	-0.035	-0.03	0.31	0
chr11_77611617_77611817_+	AAMDC	0.17	0.175	0.84	0.7	0
chrX_44921892_44921993_+	KDM6A	-0.06	-0.045	-0.07	0.33	0
chr22_19960642_19960840_-	ARVCF	-0.41	-0.395	-1.53	1.2	0
chr19_52642985_52643157_-	ZNF616	-0.14	-0.125	-0.41	0.47	0
chr20_33507238_33507375_+	ACSS2	-0.3	-0.295	-1.11	0.87	0
chr6_56955023_56955072_+	ZNF451	-0.27	-0.255	-0.94	0.76	0
chr16_67298943_67299009_+	SLC9A5	-0.12	-0.105	-0.32	0.43	0
chr19_38264301_38264391_-	ZNF573	0.26	0.275	1.25	0.98	0
chr17_55756910_55757658_+	MSI2	-0.37	-0.365	-1.4	1.09	0
chr1_67394573_67394646_+	MIER1	0.29	0.295	1.34	1.05	0
chr17_34856909_34857075_-	MYO19	-0.11	-0.095	-0.28	0.41	0
chr4_15656827_15657005_-	FBXL5	0.16	0.165	0.8	0.67	0
chr11_77611617_77611831_+	AAMDC	0.17	0.175	0.84	0.7	0
chr11_77122819_77123109_-	PAK1	0.08	0.085	0.47	0.5	0
chr3_9475729_9475865_+	SETD5	0.16	0.175	0.84	0.7	0
chr13_50586071_50587305_+	TRIM13	-0.24	-0.235	-0.86	0.71	0
chr2_96517874_96517944_-	ANKRD36C	-0.21	-0.205	-0.74	0.64	0
chr11_134183290_134183368_+	GLB1L3	-0.37	-0.355	-1.36	1.06	0
chr3_128997817_128998054_+	HMCES	-0.12	-0.115	-0.36	0.44	0
chr3_38538334_38538420_+	EXOG	0.06	0.075	0.42	0.47	0
chr4_83931637_83931884_-	LIN54	-0.16	-0.155	-0.53	0.53	0
chr19_10463110_10463168_-	TYK2	0.24	0.255	1.17	0.92	0
chr7_44268987_44269100_-	CAMK2B	0.19	0.195	0.92	0.75	0
chr1_1328170_1328183_-	CCNL2	0.46	0.475	2.08	1.73	0.14
chr1_55545211_55545332_-	USP24	-0.14	-0.135	-0.45	0.49	0
chr4_107176104_107176204_-	TBCK	0.48	0.495	2.17	1.82	0.21
chr11_59567148_59567420_+	STX3	-0.13	-0.115	-0.36	0.44	0
chr2_70910723_70910899_-	ADD2	-0.13	-0.125	-0.41	0.47	0
chr13_52249306_52249379_+	WDFY2	-0.18	-0.165	-0.57	0.55	0
chr7_24681335_24681431_+	MPP6	0.12	0.125	0.63	0.58	0
chr14_64953557_64954775_-	ZBTB25	-0.19	-0.175	-0.61	0.57	0
chr11_76705232_76705270_+	ACER3	0.08	0.095	0.51	0.52	0
chr17_7095212_7095321_-	DLG4	-0.3	-0.285	-1.07	0.85	0
chr19_52642985_52642999_-	ZNF616	-0.14	-0.125	-0.41	0.47	0
chr19_45643494_45643539_+	PPP1R37	-0.2	-0.185	-0.65	0.59	0
chr14_65196961_65197030_+	PLEKHG3	-0.21	-0.205	-0.74	0.64	0
chr11_82996170_82997041_-	CCDC90B	-0.01	0.005	0.13	0.35	0
chr19_48753008_48753067_-	CARD8	-0.12	-0.115	-0.36	0.44	0
chr12_50026797_50026907_+	PRPF40B	-0.33	-0.315	-1.19	0.93	0
chr3_135797992_135798125_+	PPP2R3A	0.07	0.075	0.42	0.47	0
chr21_15591884_15592046_+	RBM11	-0.18	-0.165	-0.57	0.55	0
chr3_17603511_17603634_-	TBC1D5	-0.18	-0.165	-0.57	0.55	0
chr12_129294488_129294656_-	SLC15A4	-0.79	-0.765	-3.06	2.96	0.95
chr2_37544930_37545037_-	PRKD3	-0.04	-0.045	-0.07	0.33	0
chr6_24512058_24512096_+	ALDH5A1	-0.06	-0.055	-0.11	0.34	0
chr6_138763120_138763251_-	NHSL1	0.05	0.065	0.38	0.45	0
chr5_43557442_43557797_-	PAIP1	-0.03	-0.025	0.01	0.3	0
chr4_59951_60050_+	ZNF595	0.35	0.365	1.63	1.29	0
chr4_7011604_7011675_+	TBC1D14	-0.13	-0.125	-0.41	0.47	0
chr12_112370390_112370463_-	TMEM116	-0.14	-0.125	-0.41	0.47	0
chr19_49852214_49852316_-	TEAD2	0.12	0.125	0.63	0.58	0
chr8_681140_681197_-	ERICH1	-0.39	-0.385	-1.48	1.16	0
chr4_85418712_85419603_-	NKX6-1	-0.33	-0.325	-1.23	0.96	0
chr1_155580016_155580123_+	MSTO1	-0.13	-0.115	-0.36	0.44	0
chr11_115061608_115061661_-	CADM1	-0.1	-0.105	-0.32	0.43	0
chr20_3846330_3849280_+	MAVS	-0.13	-0.125	-0.41	0.47	0
chr19_6440075_6442170_-	SLC25A23	0.33	0.345	1.54	1.21	0
chr12_122209394_122209455_+	TMEM120B	-0.22	-0.205	-0.74	0.64	0
chr22_38239918_38240283_-	ANKRD54	0.07	0.085	0.47	0.5	0
chr4_7008359_7008453_+	TBC1D14	-0.17	-0.165	-0.57	0.55	0
chr4_83931637_83931982_-	LIN54	-0.16	-0.155	-0.53	0.53	0
chr1_246518333_246518396_-	SMYD3	-0.14	-0.135	-0.45	0.49	0
chr10_101471601_101473236_-	COX15	-0.47	-0.445	-1.73	1.38	0
chr1_164815821_164821068_+	PBX1	0.28	0.285	1.3	1.01	0
chr16_3338454_3338570_+	ZNF263	0.03	0.035	0.26	0.4	0
chr3_71774343_71774526_-	EIF4E3	0.49	0.495	2.17	1.82	0.21
chr6_10770344_10770463_-	MAK	-0.37	-0.355	-1.36	1.06	0
chr3_184032954_184033333_+	EIF4G1	-0.34	-0.325	-1.23	0.96	0
chr11_77611617_77611778_+	AAMDC	0.17	0.175	0.84	0.7	0
chr18_21723060_21723223_+	CABYR	0.08	0.095	0.51	0.52	0
chr6_15401089_15401248_+	JARID2	0.3	0.305	1.38	1.08	0
chr10_131639108_131639296_-	EBF3	-0.3	-0.295	-1.11	0.87	0
chr8_17166786_17166835_-	MTMR7	-0.11	-0.105	-0.32	0.43	0
chr4_15656827_15656964_-	FBXL5	0.16	0.165	0.8	0.67	0
chr1_114224834_114224924_+	MAGI3	-0.08	-0.075	-0.2	0.38	0
chr10_98592712_98592871_+	LCOR	-0.15	-0.145	-0.49	0.51	0
chr5_81591312_81591363_+	ATP6AP1L	0.43	0.435	1.92	1.56	0.04
chr7_44266115_44266243_-	CAMK2B	0.21	0.215	1	0.8	0
chr7_28858378_28858406_+	CREB5	-0.06	-0.055	-0.11	0.34	0
chr10_123241370_123241691_-	FGFR2	0.21	0.225	1.05	0.83	0
chr5_81549887_81551958_+	ATG10	-0.06	-0.055	-0.11	0.34	0
chr18_20945598_20945632_-	TMEM241	0.2	0.215	1	0.8	0
chr19_37678001_37678034_-	ZNF585B	-0.01	0.005	0.13	0.35	0
chr19_48599956_48600384_-	PLA2G4C	0.38	0.395	1.75	1.4	0
chr4_15656827_15657035_-	FBXL5	0.16	0.165	0.8	0.67	0
chr11_87016978_87017047_+	TMEM135	-0.11	-0.095	-0.28	0.41	0
chr14_74417004_74417198_+	COQ6	0.44	0.445	1.96	1.6	0.08
chr12_48190800_48190925_-	HDAC7	-0.17	-0.155	-0.53	0.53	0
chr6_159004986_159005076_+	TMEM181	-0.22	-0.215	-0.78	0.66	0
chr22_42381988_42382116_+	SEPT3	0.14	0.145	0.71	0.62	0
chr19_37663529_37663643_-	ZNF585A	-0.02	-0.005	0.09	0.33	0
chr10_101147909_101148058_+	CNNM1	0.4	0.415	1.83	1.47	0
chr18_20951386_20951434_-	TMEM241	-0.49	-0.485	-1.9	1.54	0.03
chr20_2489527_2489778_-	ZNF343	-0.09	-0.075	-0.2	0.38	0
chr6_30610545_30612456_+	ATAT1	-0.53	-0.515	-2.02	1.66	0.1
chr15_100106195_100106309_+	MEF2A	0.3	0.295	1.34	1.05	0
chr3_127787479_127787756_-	RUVBL1	0.69	0.705	3.04	2.93	0.93
chr11_82923695_82923836_+	ANKRD42	-0.17	-0.165	-0.57	0.55	0
chr15_100105905_100106309_+	MEF2A	0.3	0.295	1.34	1.05	0
chr1_1592939_1597458_-	SLC35E2B	-0.26	-0.245	-0.9	0.74	0
chr18_6859807_6859896_+	ARHGAP28	-0.27	-0.265	-0.99	0.79	0
chr16_89865327_89865487_-	FANCA	-0.03	-0.015	0.05	0.32	0
chr12_111157713_111158009_-	PPP1CC	0.21	0.225	1.05	0.83	0
chr11_67933186_67933415_-	SUV420H1	0.4	0.405	1.79	1.44	0
chr19_41289683_41289745_+	RAB4B-EGLN2	-0.28	-0.265	-0.99	0.79	0
chr2_189157559_189157907_+	GULP1	0.07	0.075	0.42	0.47	0
chr18_34267091_34267141_+	FHOD3	0.27	0.285	1.3	1.01	0
chr5_34007878_34008213_-	AMACR	-0.31	-0.305	-1.15	0.9	0
chrX_119392506_119394883_-	TMEM255A	-0.15	-0.145	-0.49	0.51	0
chr13_76287318_76287388_+	LMO7	0.4	0.415	1.83	1.47	0
chr1_45851584_45851632_-	TESK2	-0.16	-0.145	-0.49	0.51	0
chr4_78740387_78740522_-	CNOT6L	0.3	0.305	1.38	1.08	0
chr15_72523237_72523512_-	PKM	0.55	0.555	2.42	2.11	0.38
chr17_42090377_42090523_-	TMEM101	-0.14	-0.125	-0.41	0.47	0
chr17_18139921_18140074_+	LLGL1	-0.17	-0.165	-0.57	0.55	0
chr19_12878630_12878717_-	HOOK2	-0.11	-0.095	-0.28	0.41	0
chr11_8985756_8985988_-	TMEM9B	-0.08	-0.065	-0.16	0.36	0
chr7_100210817_100210892_+	MOSPD3	-0.16	-0.145	-0.49	0.51	0
chr7_45039787_45039962_+	CCM2	-0.14	-0.125	-0.41	0.47	0
chr16_89989762_89989866_+	TUBB3	0.12	0.125	0.63	0.58	0
chr15_55562363_55562592_-	RAB27A	0.18	0.185	0.88	0.72	0
chr11_64671062_64671132_-	ATG2A	-0.81	-0.795	-3.18	3.13	1.06
chr1_203765421_203765729_+	ZC3H11A	0.16	0.175	0.84	0.7	0
